venues,capacity
Etihad Stadium,53400
Amex Stadium,31800
Turf Moor,21944
Selhurst Park,25486
Craven Cottage,19359
King Power Stadium,32261
Anfield,53394
Old Trafford,74140
St. Mary's Stadium,32384
Tottenham Hotspur Stadium,62850
Vicarage Road,22200
Goodison Park,40157
Vitality Stadium,11364
London Stadium,60000
Molineux Stadium,32050
Cardiff City Stadium,33280
St. James' Park,52305
Stamford Bridge,41837
John Smith's Stadium,24121
Emirates Stadium,60260
Wembley Stadium,90000
The Hawthorns,26688
Villa Park,42095
Elland Road,37792
Bramall Lane,32050
KCOM Stadium,25400
Liberty Stadium,21088
Riverside Stadium,34742
Stadium of Light,49000
bet365 Stadium,30089
White Hart Lane,36284
City of Manchester Stadium,53400
Reebok Stadium,28723
Britannia Stadium,30089
Upton Park,35016
St James' Park,52305
Molineux,32050
Ewood Park,31367
Bloomfield Road,16616
DW Stadium,25138
St Andrews,29409
Madejski Stadium,24161
Boleyn Ground,35016
Carrow Road,27359
Loftus Road Stadium,18439
Loftus Road,18439
The Friends Provident St Mary's Stadium,32384
Sports Direct Arena,52305
The KC Stadium,25400
Kiyan Prince Foundation Stadium,18439
Brentford Community Stadium,17250
The Kingston Communications Stadium,25400
Fratton Park,19669
St. Andrew's Stadium,29409
